장소명,주소,lat,lon
한림공원,제주특별자치도 제주시 한림읍 협재리 2610,33.38883704,126.240285
협재해수욕장,제주특별자치도 제주시 한림읍 협재리 2447,33.39338296,126.239607
해비치올레길,제주특별자치도 서귀포시 표선면 세화리 288-2,33.30602501,126.806053
해녀박물관,제주특별자치도 제주시 구좌읍 상도리 471-35,33.52342903,126.86339
해거름공원바다산책로,제주특별자치도 제주시 한경면 판포리 1610-1,33.36996996,126.20654
항공우주박물관,제주특별자치도 서귀포시 안덕면 서광리 산 39-1,33.30452397,126.300389
함덕서우봉해변,제주특별자치도 제주시 조천읍 함덕리 산 1,33.54498561,126.6746817
한림공원,제주특별자치도 제주시 한림읍 협재리 2487-3,33.390182,126.237964
한라수목원,제주특별자치도 제주시 연동 1002,33.46983212,126.4923081
한라생태숲,제주특별자치도 제주시 용강동 산 14-1,33.43193896,126.5969
플레이케이팝,제주특별자치도 서귀포시 색달동 2864-36,33.25016616,126.4133496
토끼섬과하도포구,제주특별자치도 제주시 구좌읍 세화리 1500-5,33.52615097,126.857052
카멜리아힐,제주특별자치도 서귀포시 안덕면 상창리 271,33.28997366,126.3682253
칠십리시공원,제주특별자치도 서귀포시 서홍동 571-3,33.24749501,126.553175
천지연폭포,제주특별자치도 서귀포시 서홍동 668,33.24415198,126.559999
차귀도-엉알해안로,제주특별자치도 제주시 한경면 고산리 3674-9,33.29898303,126.168056
주상절리,제주특별자치도 서귀포시 중문동 2769,33.2378145,126.4259685
조천리용천수탐방길,제주특별자치도 제주시 조천읍 조천리 2686-2,33.53976502,126.636538
제주현대미술관,제주특별자치도 제주시 한경면 저지리 2114-68,33.33828997,126.265603
제주해양동물박물관,제주특별자치도 서귀포시 성산읍 수산리 2722-23,33.42996703,126.856833
제주항일기념관,제주특별자치도 제주시 조천읍 조천리 1131-1,33.54018303,126.640898
제주추사관,제주특별자치도 서귀포시 대정읍 안성리 1665-1,33.24992702,126.278151
제주조각공원,제주특별자치도 서귀포시 안덕면 덕수리 산 27,33.25194396,126.322054
제주자연생태공원,제주특별자치도 서귀포시 성산읍 수산리 4711-25,33.43970102,126.823683
제주민속촌,제주특별자치도 서귀포시 표선면 표선리 40,33.32414241,126.8426361
제주도립박물관,제주특별자치도 제주시 연동 680-7,33.45291,126.48849
제주도립김창열미술관,제주특별자치도 제주시 한림읍 월림리 115-23,33.33911802,126.268971
제주국제평화센터,제주특별자치도 서귀포시 중문동 2574-2,33.24512302,126.421579
제주국립박물관,제주특별자치도 제주시 건입동 261,33.51296799,126.548662
점보빌리지,제주특별자치도 서귀포시 안덕면 서광리 2351,33.27598804,126.304986
절물휴양림,제주특별자치도 제주시 봉개동 산 78-1,33.43964998,126.629732
자구리공원,제주특별자치도 서귀포시 서귀동 33-1,33.24254198,126.567346
일출랜드,제주특별자치도 서귀포시 성산읍 삼달리 1001,33.38101471,126.8423764
이호테우해변,제주특별자치도 제주시 이호일동 374-4,33.50213497,126.453268
이생진거리,,33.46689887,126.9360016
유리의 성,제주특별자치도 제주시 한경면 저지리 3135-1,33.31439601,126.273092
월령리선인장마을,제주특별자치도 제주시 한림읍 월령리 317-1,33.378634,126.216411
워터서커스,제주특별자치도 제주시 구좌읍 송당리 2764-1,33.42429391,126.7434437
우도성산항여객터미널,제주특별자치도 서귀포시 성산읍 성산리 347-9,33.472731,126.934236
용수리포구,제주특별자치도 제주시 한경면 용수리,33.32314404,126.166794
올레길10코스휠체어올레길,,33.22789804,126.304892
온평환해장성해안길,제주특별자치도 서귀포시 성산읍 온평리 693-1,33.40732198,126.907641
오조포구마을길,제주특별자치도 서귀포시 성산읍 오조리 152-1,33.460953,126.915225
오설록,제주특별자치도 서귀포시 안덕면 서광리 1235-1,33.30538698,126.289953
열리해안길,제주특별자치도 서귀포시 하예동 572,33.23665797,126.388322
여미지식물원,제주특별자치도 서귀포시 색달동 2484-1,33.25146628,126.4148177
에코랜드,제주특별자치도 제주시 조천읍 교래리 385-1,33.44680804,126.666576
어영공원,제주특별자치도 제주시 용담삼동 2396-8,33.51865604,126.488366
애월한담공원,제주특별자치도 제주시 애월읍 애월리 2489-3,33.46195313,126.3106147
알뜨르비행장격납고밭길,제주특별자치도 서귀포시 대정읍 상모리 1607-11,33.20508099,126.277772
아리랑공연장,제주특별자치도 서귀포시 표선면 성읍리 2684,33.40303204,126.779033
아르떼뮤지엄,제주특별자치도 제주시 애월읍 어음리 1503,33.39622702,126.345033
